"id","workflow","event","branch","sha","status","conclusion","attempt","created_at","url"
"33467621303","iOS Simulator","workflow_dispatch","main","3557ed3a3cfa8ea479270535109b872145af278c","completed","failure","1","2026-09-01T03:49:49Z","https://github.com/jsexy0210-ship-it/WeddingPickl/actions/runs/33467621303"
"33467616448","Android APK","workflow_dispatch","main","3557ed3a3cfa8ea479270535109b872145af278c","completed","cancelled","1","2026-09-01T03:49:44Z","https://github.com/jsexy0210-ship-it/WeddingPickl/actions/runs/33467616448"
"33467309955","CI","push","main","3557ed3a3cfa8ea479270535109b872145af278c","completed","success","1","2026-09-01T03:44:40Z","https://github.com/jsexy0210-ship-it/WeddingPickl/actions/runs/33467309955"
"33466433473","CI","push","main","74c81cbfa9fb3f503bea3848b818841365f8e0d6","completed","success","1","2026-09-01T03:30:00Z","https://github.com/jsexy0210-ship-it/WeddingPickl/actions/runs/33466433473"
"33465801340","CI","push","main","527594a3608c96771e5a022c3cd1a1adaf7da787","completed","success","1","2026-09-01T03:19:38Z","https://github.com/jsexy0210-ship-it/WeddingPickl/actions/runs/33465801340"
"33464713870","CI","push","main","f816cba39a78b47f68a25daa3d31cf8679d816f5","completed","success","1","2026-09-01T03:01:51Z","https://github.com/jsexy0210-ship-it/WeddingPickl/actions/runs/33464713870"
"33463683784","CI","push","main","4d542ba273180bbc30cc73c2962d011b4133ed4c","completed","success","1","2026-09-01T02:44:51Z","https://github.com/jsexy0210-ship-it/WeddingPickl/actions/runs/33463683784"
"33461315635","CI","push","main","e4b0e4f1056bdd97c1b95193cefdc6a9136cffb6","completed","success","1","2026-09-01T02:06:55Z","https://github.com/jsexy0210-ship-it/WeddingPickl/actions/runs/33461315635"
"33459565251","CI","push","main","81bf446906e3eaea8c264cec14acbd95d52c6d65","completed","failure","1","2026-09-01T01:39:11Z","https://github.com/jsexy0210-ship-it/WeddingPickl/actions/runs/33459565251"
"33458689369","CI","push","main","2e8b8244353d13833386b283ea4b6a16ea1ca2e0","completed","success","1","2026-09-01T01:25:36Z","https://github.com/jsexy0210-ship-it/WeddingPickl/actions/runs/33458689369"
"33458010524","CI","push","main","be64dd49736a912fbb8d08878bfc37143bd067d6","completed","success","1","2026-09-01T01:15:19Z","https://github.com/jsexy0210-ship-it/WeddingPickl/actions/runs/33458010524"
"33457491865","CI","push","main","e8a3bf335d6c0a1014eb713d4943c8cd96f08eb3","completed","success","1","2026-09-01T01:07:25Z","https://github.com/jsexy0210-ship-it/WeddingPickl/actions/runs/33457491865"
"33454024740","CI","push","main","13b5843c995be1424065f2b7b6051c323bca5eec","completed","success","1","2026-09-01T00:15:33Z","https://github.com/jsexy0210-ship-it/WeddingPickl/actions/runs/33454024740"
"33449482801","CI","push","main","fc6c199475539404b4842760dbae7589f2fbeb15","completed","success","1","2026-08-31T23:09:41Z","https://github.com/jsexy0210-ship-it/WeddingPickl/actions/runs/33449482801"
"33409114885","CI","push","main","9b4db6d5762225b222ef4abe7e4a664ebc0196cc","completed","failure","1","2026-08-31T15:33:24Z","https://github.com/jsexy0210-ship-it/WeddingPickl/actions/runs/33409114885"
"33407988431","CI","push","main","5aa6ca7ce2ecb6c0f36b02793444f2b5b06c75ee","completed","success","1","2026-08-31T15:21:39Z","https://github.com/jsexy0210-ship-it/WeddingPickl/actions/runs/33407988431"
"33406838740","CI","push","main","afa0ca574c8f67234f1226d30f615a8bdee3336c","completed","success","1","2026-08-31T15:09:44Z","https://github.com/jsexy0210-ship-it/WeddingPickl/actions/runs/33406838740"
"33404828914","CI","push","main","a155c00208c85572ede79eaf395b90fc240fa262","completed","success","1","2026-08-31T14:48:54Z","https://github.com/jsexy0210-ship-it/WeddingPickl/actions/runs/33404828914"
"33403087900","CI","push","main","e10cc371c1eef2dbe05272707faf6d3125f19f2a","completed","success","1","2026-08-31T14:31:01Z","https://github.com/jsexy0210-ship-it/WeddingPickl/actions/runs/33403087900"
"33402901248","CI","push","main","ec6bff426910bb92c402c840ce895063f742fc96","completed","success","1","2026-08-31T14:29:07Z","https://github.com/jsexy0210-ship-it/WeddingPickl/actions/runs/33402901248"
"33400448718","CI","push","main","b6b21b7c9bffe07616e1e090e4724a2544cfcc97","completed","success","1","2026-08-31T14:03:56Z","https://github.com/jsexy0210-ship-it/WeddingPickl/actions/runs/33400448718"
